A1808,25.35068493,AGE,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,SPH,BA,HT,GCL,VOL,DENS,LAI,PRNHT,EXT,CSHRUB
,,0,0,0,0.0079636,0,0,0,0,0.0040281,0,0,0,0,0,0.0020372,0,0.0013427,1852,0,0.2,0,0,0,0.013629718,-1,0,0
,,1,0.034527411,0.029655953,0.009161185,0.00557452,0,0.006412703,0,0.010651995,0.002664617,0.00238908,0,0.000339832,0,0.006675006,0.0030558,0.002576093,1725.914799,0.031243344,0.385733652,0.185733652,0.031243344,0.340936444,0.025220396,0,0,0.0921
,,2,0.175175266,0.163626444,0.047729502,0.00641283,0.001951082,0.038728273,3.89853E-16,0.045196428,0.016145264,0.008237512,0,0.001587303,0.000108647,0.035625782,0.011479294,0.008866894,1608.413549,0.132602375,0.776012762,0.576012762,0.132602375,0.340841764,0.095840437,0,0,0.1906
,,3,0.364756897,0.298283037,0.095960435,0.033410651,0.00224449,0.105209368,9.80728E-13,0.119197741,0.044561315,0.026871241,0,0.005161645,0.000407742,0.062878558,0.058948735,0.02162094,1498.91185,0.350221951,1.34450627,1.14450627,0.350221951,0.340349144,0.224455028,0,0,0.2955
,,4,0.555888257,0.416171534,0.139049898,0.067172305,0.011693728,0.205071445,7.45999E-11,0.237881859,0.088964791,0.073734262,0,0.012637684,0.001025144,0.090229484,0.12261323,0.040312856,1396.865088,0.699170953,2.049477425,1.849477425,0.699170953,0.340234184,0.371040828,0,0,0.4068
,,5,0.739965482,0.512366516,0.17226722,0.097334929,0.023510307,0.336140319,1.35161E-09,0.407354025,0.150332363,0.15465243,0,0.025633188,0.002091327,0.114247967,0.194198577,0.064162049,1301.765728,1.183309682,2.858093372,2.658093372,1.183309682,0.344249718,0.498442969,0,0,0.5245
,,6,2.567727722,2.304633463,0.559927951,0.120587054,0.034067225,0.784701639,3.03676E-08,1.07168483,0.375797779,0.259231816,0,0.055351188,0.004584219,0.484841932,0.264587268,0.147640417,1213.140785,3.063634587,3.743842221,3.543842221,3.063634587,0.349808308,1.1963372,0,0,0.6486
,,7,4.234817832,3.270748079,0.815168728,0.391949566,0.042205469,1.512567624,1.31758E-06,2.257228935,0.764964719,0.482870636,0,0.121609258,0.010205024,0.632372779,0.854264787,0.283176242,1130.549478,6.405259917,4.6851163,4.4851163,6.405259917,0.352402395,2.072967332,0,0,0.7791
,,8,6.10580611,4.647837544,1.045042121,0.570618109,0.137182348,2.540046101,2.43063E-05,4.085725158,1.348515253,0.918614337,0,0.245140826,0.020632947,0.919653933,1.358606266,0.478723731,1053.581034,11.52853602,5.664264251,5.464264251,11.52853602,0.35440104,2.888005948,0,0,0.916
,,9,7.895595894,5.690906595,1.204854641,0.731529485,0.199716338,3.833787207,0.000234886,6.576693527,2.126263242,1.538975702,0,0.447526903,0.037508429,1.110340222,2.031611908,0.734643859,981.8526449,18.44936558,6.666888943,5.356901931,18.44936558,0.356472611,3.500331677,0,0,1.0593
,,10,9.571231263,6.806550226,1.316378381,0.843398249,0.25603532,5.354064035,0.001407794,9.713444249,3.089625696,2.238508326,0,0.748127788,0.062158897,1.321118191,2.640684048,1.050536392,915.0075648,27.09387609,7.681296093,6.120387444,27.09387609,0.358510691,3.944093227,0,0,1.209
,,11,11.04977758,7.719431569,1.387704184,0.921464867,0.295189387,7.049976644,0.005950947,13.42726941,4.21755025,2.947289289,0,1.162513399,0.095491521,1.481403666,3.249205629,1.421954731,852.7133353,37.24797973,8.69804538,6.885836318,37.24797973,0.360483159,4.241631924,0,0,1.3651
,,12,12.27806322,8.477070836,1.427492854,0.971392929,0.322512703,8.865721111,0.019311874,17.61224647,5.480862638,3.612096924,0,1.700905155,0.137898084,1.619003589,3.781724201,1.840714258,794.660132,48.60123947,9.709576629,7.649205444,48.60123947,0.362382661,4.426074141,0,0,1.5276
,,13,13.22878101,8.995784195,1.442367388,0.999244998,0.339987525,10.74400892,0.050990922,22.14105058,6.846249564,4.202982254,0,2.367428019,0.18923761,1.716420295,4.243733,2.295847869,740.5592234,60.79180358,10.70989421,8.407362294,60.79180358,0.364211115,4.521296517,0,0,1.6965
,,14,13.90640448,9.297544115,1.438271385,1.009657172,0.349735749,12.62985155,0.114193177,26.88315481,8.280602062,4.70446687,0,3.16017933,0.24888823,1.784047806,4.611622283,2.775266594,690.141535,73.45762466,11.69429868,9.157905029,73.45762466,0.365968202,4.547503897,0,0,1.8718
,,15,14.33304866,9.384149155,1.419813445,1.00678997,0.35338001,14.47327389,0.223656807,31.71637324,9.753501827,5.111381563,0,4.071957872,0.315848204,1.821130014,4.889650405,3.267022439,643.1563113,86.26712024,12.65915799,9.89901713,86.26712024,0.367653089,4.520981513,0,0,2.0535
,,16,14.54294837,9.291377303,1.390851688,0.993869411,0.352376489,16.2326629,0.392158049,36.53468438,11.23882943,5.425399067,0,5.091350776,0.388855886,1.834465223,5.078727216,3.760298061,599.369868,98.93906151,13.60171297,10.62934878,98.93906151,0.369264513,4.454994615,0,0,2.2416
,,17,14.58242159,9.060432881,1.355279846,0.973596182,0.347854294,17.8784917,0.627128654,41.25479717,12.71619121,5.65253621,0,6.204027549,0.466515334,1.829195935,5.189486898,4.246278119,558.5644304,111.2592237,14.51991256,11.3479197,111.2592237,0.370798895,4.361460936,0,0,2.4361
,,18,14.48811636,8.727505793,1.315403888,0.948695892,0.340758664,19.39352051,0.928532078,45.81259554,14.16982209,5.80154442,0,7.393978913,0.547405155,1.809405254,5.234747614,4.717947622,520.5370499,123.0676552,15.41227551,12.05403974,123.0676552,0.37225537,4.249629988,0,0,2.637
,,19,14.29675072,8.331075465,1.273414583,0.920782722,0.332043562,20.77269212,1.288909059,50.16308841,15.58852053,5.88266668,0,8.644539211,0.630158959,1.779716347,5.226786735,5.170198601,485.0985948,134.2573196,16.27777526,12.74724424,134.2573196,0.373633918,4.126884475,0,0,2.8443
,,20,13.95540803,7.817757349,1.223211882,0.891390208,0.322273953,22.01329196,1.692166699,54.2415717,16.9555529,5.906562515,0,9.938468046,0.713455327,1.727687214,5.178432154,5.59585158,452.0728097,144.6605607,17.1157453,13.42724204,144.6605607,0.374957566,3.987116099,0,0,3.058
