LowUC,25.4,AGE,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,SPH,BA,HT,GCL,VOL,DENS,LAI,PRNHT,EXT,CSHRUB
,,0,0,0,0.001333,0,0,0,0,0.00067425,0,0,0,0,0,0.000341,0,0.00022475,310,0,0.2,0,0,0,0.002282207,-1,0,0
,,1,0.010160905,0.009561523,0.00274653,0.0009331,0,0.001887163,0,0.002707873,0.000784157,0.0003999,0,0,0,0.002093614,0.0005115,0.000603418,310,0.007952462,0.551383827,0.351383827,0.007952462,0.34050751,0.006299524,0,0,0.0921
,,2,0.054839743,0.052162836,0.014948099,0.001922571,0.000326585,0.01200376,1.17E-19,0.013862355,0.005038373,0.00174277,0,0,0,0.0111509,0.003385942,0.002634733,310,0.040767177,1.183074962,0.983074962,0.040767177,0.340037164,0.02942524,0,0,0.1906
,,3,0.123585206,0.104558642,0.03257403,0.010463669,0.0006729,0.03452857,4.25E-16,0.040017879,0.01477444,0.007421677,0,0,0,0.021764045,0.018351602,0.007142609,310,0.117885694,2.001012759,1.801012759,0.117885694,0.339463402,0.074738922,0,0,0.2955
,,4,0.208868651,0.164781485,0.052420508,0.022801821,0.003662284,0.072050603,4.89E-14,0.087220595,0.03171939,0.023042348,0,0,0,0.034833623,0.041454837,0.014576706,310,0.253997829,2.938716083,2.738716083,0.253997829,0.343391105,0.134779937,0,0,0.4068
,,5,0.663848387,0.597753185,0.158163121,0.036694356,0.007980637,0.189636982,2.93E-12,0.250558062,0.087904159,0.052204218,0,0,0,0.125552935,0.072148756,0.037562585,310,0.717527802,3.952476169,3.752476169,0.717527802,0.349196312,0.345020147,0,0,0.5245
,,6,1.132220767,0.895111097,0.242785979,0.110714185,0.012843025,0.387426829,2.35E-10,0.556219822,0.18859448,0.120049055,0,0,0,0.176199441,0.222960806,0.075971379,310,1.575160801,5.011165528,4.687488403,1.575160801,0.35311939,0.621143855,0,0,0.6486
,,7,1.83747132,1.465414986,0.353706836,0.169950185,0.038749965,0.70324566,6.68E-09,1.098759602,0.360266204,0.251393659,0,0,0,0.291469952,0.371320348,0.137996551,310,3.095237648,6.091813286,5.575931248,3.095237648,0.354983923,0.949788272,0,0,0.7791
,,8,2.67520766,2.056452416,0.458049052,0.247594785,0.059482565,1.153436742,1.06E-07,1.954014626,0.621355445,0.451651978,0,0,0,0.395738081,0.615438695,0.229461313,310,5.482142034,7.177182603,6.450695741,5.482142034,0.356432689,1.287032063,0,0,0.916
,,9,3.547943424,2.698184442,0.541987605,0.320634336,0.086658175,1.734883274,1.03E-06,3.166652081,0.980172429,0.710545151,0,0,0,0.507697002,0.889017695,0.35404673,310,8.843107683,8.254261496,7.304294102,8.843107683,0.358092674,1.591771115,0,0,1.0593
