Plot,Index age,Age,Stocking b4 thin,Stocking aft thin,MTH,Crown Lth,Volume b4 thin,Volume aft thin,BA b4 thin,BA aft thin,DBH b4 thin,DBH aft thin,Mean Height
LowUC,25.4,0,310,,0.25,,0.001984,,0,,0,,0.240070816
,,1,310,,0.574188729,,0.007952462,,0,,0,,0.551383827
,,2,310,,1.232006227,,0.040767177,,0,,0,,1.183074962
,,3,310,,2.083773437,,0.117885694,,0.011703426,,0.693249969,,2.001012759
,,4,310,,3.060259604,,0.253997829,,0.098818719,,2.014433641,,2.938716083
,,5,310,,4.115948194,,0.717527802,,0.284709755,,3.41927892,,3.952476169
,,6,310,,5.218424305,,1.575160801,,0.585165013,,4.901991239,,5.011165528
,,7,310,,6.343767001,,3.095237648,,1.050831871,,6.569010757,,6.091813286
,,8,310,,7.474026537,,5.482142034,,1.694002518,,8.340467237,,7.177182603
,,9,310,,8.595652761,,8.843107683,,2.495375707,,10.12281561,,8.254261496
,,10,310,,9.69843346,,13.28463484,,3.443873615,,11.89205632,,9.313243346
,,11,310,,10.77473731,,18.86760929,,4.5238399,,13.62972107,,10.34679992
,,12,310,,11.81895333,,25.60790236,,5.716910992,,15.32195104,,11.34954309
,,13,310,,12.82706447,,33.47889667,,7.003165623,,16.95823127,,12.31761535
,,14,310,,13.79631686,,42.42003295,,8.362794191,,18.53143537,,13.24837219
,,15,310,,14.72495938,,52.34352128,,9.776742959,,20.03689644,,14.14013207
,,16,310,,15.61203652,,63.14527602,,11.22787649,,21.47247809,,14.9919774
,,17,310,,16.4572221,,74.71408286,,12.70154618,,22.83818837,,15.80359497
,,18,310,,17.26068519,,86.93487979,,14.18513206,,24.13515246,,16.57514713
,,19,310,,18.0229814,,99.69768881,,15.66867191,,25.36585166,,17.30716742
,,20,310,,18.7449646,,112.8308388,,17.13395327,,26.52541235,,18.0004758
,,21,310,,19.42771504,,126.4735993,,18.61039292,,27.64465193,,18.65610963
,,22,310,,20.07248089,,140.6039202,,20.10040967,,28.73001213,,19.27526748
,,23,310,,20.68063064,,155.1595145,,21.60026094,,29.78261681,,19.85926351
,,24,310,,21.25361452,,170.0804452,,23.10659503,,30.8035898,,20.40949034
