"Age","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","SPHA","BA","HT","GCL","Vol","dens","CTREES","CSHRUB","CSTAND","CFAS","CSTEM","C_branch_live","C_branch_dead","CROOTL","CROOTD","C_needle_litter","C_branch_litter","C_stem_litter","Plot"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852,0,0.2,0.2,0,0,0,0.0921,0.0921,0,0,0,0,0,0,0,0,0,"A1808"
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852,0,0.414192342949395,0.414192342949395,0,0.343221217469851,0,0.1906,0.1906,0,0,0,0,0,0,0,0,0,"A1808"
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852,0,1.44252731612771,1.44252731612771,0,0.349620240794961,0,0.2955,0.2955,0,0,0,0,0,0,0,0,0,"A1808"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852,0,2.19868835848053,2.19868835848053,0,0.355714408728464,0,0.4068,0.4068,0,0,0,0,0,0,0,0,0,"A1808"
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1851.14993199945,1.27023691870289,3.06579779900218,3.06579779900218,3.25181517049642,0.36153631035167,0,0.5245,0.5245,0,0,0,0,0,0,0,0,0,"A1808"
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.30023409347,3.83670666496759,4.01514894785398,4.01514894785398,9.3873413223641,0.367114590281059,0,0.6486,0.6486,0,0,0,0,0,0,0,0,0,"A1808"
7,2.04956460207446,0,0,1.76929874904285,0,3.03944807201883,0.961749364212335,0,0,0,0,2.12644740702972,0,0.347481043095334,1849.44840087329,8.03249348511724,5.02322820696624,5.02322820696624,20.6034460591359,0.372474095272252,5.14699461873676,0.7791,5.92609461873676,1.02478230103723,1.69346455755708,0.884649374521424,0,1.54409838562103,0,0,0,0,"A1808"
8,2.82949500803404,1.02478230103723,0,4.5242435272633,0.000209268117279989,8.27357843900523,2.55960624687716,1.02478230103723,0,0,0,2.25057217080413,3.18967111054458,0.907242137283097,1848.5531248792,13.7444824848613,6.07070095999055,6.07070095999055,38.1855287482913,0.377636020823995,13.2920912550016,0.916,14.2080912550016,1.92713865453563,4.59041028814416,2.26212176363165,0.000104634058639994,2.40508920884065,1.59483555527229,0.512391150518614,0,0,"A1808"
9,3.57505278878079,1.41474750401702,0.256195575259307,8.30826028312966,0.0125136939714342,16.1910287874531,4.90236388448205,2.98362355492433,0,0,0,3.48143630190691,4.9069003892676,1.72067475162219,1847.38125704797,20.6367160101147,7.1416648035182,7.1416648035182,62.7223124648808,0.382618057782124,23.8763987574072,1.0593,24.9356987574072,2.62299793402856,8.95585176953765,4.15413014156483,0.00625684698571709,4.19190009319448,2.4534501946338,1.49181177746217,0,0,"A1808"
10,4.14722157593561,1.7875263943904,0.353686876004255,12.8750196176952,0.186396937910819,26.9551831321775,8.00352248849829,5.43480145024587,0,0,0,4.10671251738416,7.57746663970882,2.8046996795465,1845.25409943951,28.2285619653312,8.22306907954455,8.22306907954455,93.9060271915199,0.387434538943545,37.1161186547487,1.209,38.3251186547487,3.14421742316513,14.879941405862,6.43750980884758,0.0931984689554093,6.05511750294123,3.78873331985441,2.71740072512294,0,0,"A1808"
