"Age","Needle_0to1yr(X3)","Needle_1to2yr(X4)","Needle_2plus_yr(X5)","Live_branch(X6)","Dead_branch(X7)","Stem_wood(X8)","Coarse_root(X9)","Needle_litter(X10)","Branch_litter(X11)","Stem_litter(X12)","Coarse_root_litter(X13)","Live_fine_root(X14)","Fine_root_litter(X15)","Stem_bark(X16)","SPHA","BA","HT","GCL","Vol","dens","CTREES","CSHRUB","CSTAND","CFAS","CSTEM","C_branch_live","C_branch_dead","CROOTL","CROOTD","C_needle_litter","C_branch_litter","C_stem_litter","cfrac_bark","AGL","BGL","DWL","FL","Total","Plot"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503,0,0,0,0,0,"LowUC"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,9.58161431022669,8.33944886316169,0,0.336480658603017,0,0.0921,0.0921,0,0,0,0,0,0,0,0,0,0.503,0,0,0,0,0,"LowUC"
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,1.23200622673098,-0.0101592203340122,0,0.343221217469851,0,0.1906,0.1906,0,0,0,0,0,0,0,0,0,0.503,0,0,0,0,0,"LowUC"
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,2.083773437321,0.841607990256007,0,0.349620240794961,0,0.2955,0.2955,0,0,0,0,0,0,0,0,0,0.503,0,0,0,0,0,"LowUC"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0.0653589871414036,3.06025960378327,1.81809415671827,0.167456353201786,0.355714408728464,0,0.4068,0.4068,0,0,0,0,0,0,0,0,0,0.503,0,0,0,0,0,"LowUC"
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0.228498457250912,4.1159481935147,2.87378274644971,0.560253047874724,0.36153631035167,0,0.5245,0.5245,0,0,0,0,0,0,0,0,0,0.511460396204639,0,0,0,0,0,"LowUC"
6,0.161837638511311,0,0,0.127684845271,0,0.197322435941863,0.0650014562425726,0,0,0,0,0.154272841998579,0,0.0247951095051804,310,0.526512085754854,5.21842430492807,3.97625885786308,1.36892903038894,0.367114590281059,0.365457163735253,0.6486,1.01405716373525,0.0809188192556554,0.111058772723522,0.0638424226355001,0,0.109637149120576,0,0,0,0,0.521116610307865,0.259108479263811,0.111046491113062,0,0,0.370154970376872,"LowUC"
7,0.250613183764919,0.0809188192556554,0,0.349616448311606,5.36182255422435e-11,0.578574942625488,0.185638278198143,0.0809188192556554,0,0,0,0.189594046194543,0.231409262997869,0.0683813184372329,310,0.976787745228428,6.3437670006694,5.1016015536044,2.77581868429905,0.372474095272252,1.00783255954737,0.7791,1.78693255954737,0.165766001510287,0.323478130531361,0.174808224155803,2.68091127711217e-11,0.187616162196343,0.115704631498934,0.0404594096278277,0,0,0.528414619931099,0.671926998693635,0.1898410021279,0,0.0415922730974069,0.903360273918942,"LowUC"
8,0.351236140111297,0.125306591882459,0.0202297048139139,0.691480242461538,4.69189825682105e-09,1.22803397850464,0.383902845132469,0.249188120153783,0,0,0,0.316383922492102,0.395467515530792,0.137837345525675,310,1.58602540937068,7.47402653652631,6.23186108946131,4.95743084743302,0.377636020823995,1.94953320565028,0.916,2.86553320565028,0.248386218403835,0.682935662015157,0.345740121230769,2.34594912841053e-09,0.350143383812285,0.197733757765396,0.124594060076891,0,0,0.533930336949326,1.29107797946197,0.353986267761405,0,0.128082693759044,1.77314694098242,"LowUC"
9,0.453493793621169,0.175618070055648,0.0313266479706149,1.17272747375382,1.04323787019191e-07,2.23169909259184,0.680885334209439,0.484427676554182,0,0,0,0.425784741725371,0.664400291192933,0.240953109028119,310,2.35268747880529,8.59565276064296,7.35348731357796,8.06786574053866,0.382618057782124,3.28065816751346,1.0593,4.33995816751346,0.330219255823716,1.23632610080998,0.586363736876909,5.21618935095956e-08,0.553335037967405,0.332200145596467,0.242213838277091,0,0,0.538099026194173,2.17508105850935,0.55903360460504,0,0.24899582574885,2.98311048886324,"LowUC"
10,0.554097365348252,0.226746896810584,0.0439045175139121,1.80517397975843,1.18331811319279e-06,3.66743976693847,1.0945229877394,0.768094078182337,0,0,0,0.567047583739402,0.957589252360664,0.38554214326,310,3.26894195458817,9.69843346018234,8.42975631263189,12.2272010841647,0.387434538943545,5.03507987748478,1.209,6.24407987748478,0.412374389836374,2.02649095509923,0.902586989879216,5.91659056596393e-07,0.8307852857394,0.478794626180332,0.384047039091169,0,0,0.54124965374861,3.37420423591193,0.838928242282123,0,0.394800356185721,4.60793283437977,"LowUC"
11,0.651527878730897,0.277048682674126,0.0566867242026461,2.59336062252525,8.69668542531151e-06,5.59753937401136,1.63818175921936,1.090845640432,0,0,0,0.709252097697761,1.31021421674222,0.57857072162603,310,4.32227362774366,10.7747373112892,9.25630621482428,17.514751217535,0.392096585660212,7.25161820727354,1.3651,8.61671820727354,0.492631642803834,3.0880550478187,1.29668031126263,4.34834271265576e-06,1.17371692845856,0.655107108371111,0.545422820216,0,0,0.543630846829636,4.92336707324821,1.18478558714151,0,0.560694659182048,6.66884731957176,"LowUC"
12,0.745000668369416,0.325763939365448,0.0692621706685315,3.53576238027698,4.6751725949101e-05,8.06441106002382,2.32004419743248,1.44211773646752,0,0,0,0.860889573967538,1.69278097058291,0.825412222777368,310,5.49689963763095,11.818953327616,10.0494635072631,23.9668283516583,0.396612254443093,9.94074583582897,1.5276,11.468345835829,0.570013389201698,4.44491164140059,1.76788119013849,2.33758629745505e-05,1.59046688570001,0.846390485291454,0.721058868233759,0,0,0.545430513845542,6.84491071472054,1.60502393172125,0,0.741248516544304,9.19118316298609,"LowUC"
13,0.833814075486364,0.372500334184708,0.0814409848413621,4.62615119682189,0.000197951601384962,11.0893195821735,3.14313464943906,1.81228702326712,0,0,0,1.01063426968663,2.1038692268311,1.12940804743627,310,6.77508081898579,12.8270644692231,10.8078216867251,31.5785262868998,0.400986683566156,13.1013786708847,1.6965,14.7978786708847,0.643877697256217,6.1093638148049,2.31307559841095,9.8975800692481e-05,2.07688445956284,1.05193461341555,0.906143511633562,0,0,0.546790672916198,9.14749622920706,2.09545785033125,0,0.931515529959302,12.1744696094976,"LowUC"
14,0.917198323369647,0.416907037743182,0.093125083546177,5.85480866183499,0.000693907983558478,14.6735533279786,4.10581523429018,2.19300333545993,0,0,0,1.15756533123749,2.52580863340887,1.49176802229939,310,8.13835636513887,13.7963168560373,11.5307124861094,40.3088679118189,0.405222239670334,16.715123449576,1.8718,18.586923449576,0.713615222329503,8.08266067513901,2.9274043309175,0.000346953991779239,2.63169028276383,1.26290431670443,1.09650166772997,0,0,0.547818659027593,11.8269841663424,2.65480101852275,0,1.1272037144264,15.6089888992915,"LowUC"
15,0.994408782854467,0.458599161684824,0.104226759435795,7.20949766932228,0.00208707879030316,18.8013406272297,5.20260017688984,2.57699963526639,0,0,0,1.29657661104672,2.94873614089249,1.9117497717971,310,9.56865744296104,14.7249593839309,12.2180285492491,50.088338461718,0.409318664367508,20.753411207605,2.0535,22.806911207605,0.778617351987543,10.3565451995134,3.60474883466114,0.00104353939515158,3.24958839396828,1.47436807044624,1.28849981763319,0,0,0.548595594217028,14.86853723955,3.27771343803226,0,1.32457781252692,19.4708284901091,"LowUC"
16,1.06486140026325,0.497204391427233,0.114649790421206,8.67614601331665,0.00553129903323868,23.4437209003486,6.42512797088265,2.95785214354187,0,0,0,1.42598735073638,3.36025826419847,2.38701443417826,310,11.0492060589804,15.6120365234656,12.8700875808857,60.8274967663179,0.413273220844477,25.1791769791739,2.2416,27.4207769791739,0.838357791055845,12.9153676672634,4.33807300665832,0.00276564951661934,3.92555766080952,1.68012913209923,1.47892607177094,0,0,0.549182789201368,18.2493224597664,3.95913198755279,0,1.52033600178052,23.7287904490997,"LowUC"
17,1.12820533159166,0.532430700131625,0.124301097856808,10.2391881804149,0.0131830172990918,28.5625813069444,7.76312688815743,3.32987681544489,0,0,0,1.54379137331815,3.75190499291984,2.91404931411145,310,12.5651084746261,16.4572221047022,13.4875271146483,72.4252607785955,0.417080840466936,29.9513195090951,2.4361,32.3874195090951,0.892468564790046,15.7383153105279,5.11959409020746,0.0065915086495459,4.65345913073779,1.87595249645992,1.66493840772245,0,0,0.549626581623596,21.9412143359012,4.6928660865231,0,1.71155668313867,28.3456371055629,"LowUC"
18,1.18431234801665,0.564102665795829,0.133107675032906,11.8815372039078,0.028707521206242,34.1142195749014,9.20523912229947,3.68814725532183,0,0,0,1.64935779688774,4.11660145657874,3.48856759006159,310,14.1036094974106,17.26068519208,14.0712223344817,84.7757544730192,0.420734269383447,35.0269501050051,2.637,37.6639501050051,0.940761344422693,18.8013935824815,5.94076860195391,0.014353760603121,5.42729845959361,2.05830072828937,1.84407362766091,0,0,0.549961992720897,25.9130576695721,5.47287155713987,0,1.89570768923542,33.2816369159474,"LowUC"
19,1.23321327264048,0.592156174008325,0.141025666448957,13.5842329611586,0.0578348944292881,40.0520769374393,10.7396322477648,4.02854757615056,0,0,0,1.74227734917695,4.45000539448941,4.10583140004159,310,15.6540519245363,18.0229814024028,14.6222215336191,97.773188313612,0.42422421512942,40.3634169368741,2.8443,43.2077169368741,0.983197556548879,22.0789541687404,6.79211648057928,0.028917447214644,6.24095479847085,2.22500269724471,2.01427378807528,0,0,0.550215490974941,30.1322818453942,6.29297730017907,0,2.07067345414139,38.4959325997147,"LowUC"
20,1.2750246383835,0.616606636320238,0.148039043502081,15.3259117076309,0.108859880885369,46.3285911235448,12.3543965693873,4.34778700409025,0,0,0,1.82262258961244,4.74941861312034,4.76088298956115,310,17.2076409790175,18.7449645996094,15.1416952439237,111.314849954368,0.427539493231083,45.9190703980192,3.058,48.9770703980192,1.01983515910291,25.544737056553,7.66295585381545,0.0544299404426845,7.08850957949988,2.37470930656017,2.17389350204512,0,0,0.550407080833835,34.5658818269367,7.14721674833286,0,2.23476252010239,43.9478610953719,"LowUC"
21,1.31444793292408,0.637512319191748,0.15415165908006,17.088207873002,0.193233234119536,52.9183038361914,14.0434060767929,4.64334945211302,0,0,0,1.89994079568851,5.01365481871643,5.45099692917455,310,18.7641297131412,19.4277150406016,15.6308960730683,125.349457030906,0.43066717380946,51.6786024634971,3.2781,54.9567024634971,1.05305595559795,29.184650382683,8.54410393650102,0.0966166170597678,7.9716734362407,2.50682740935821,2.32167472605651,0,0,0.550551881334215,39.1986040885927,8.03732290455202,0,2.38668161838609,49.6226086115308,"LowUC"
22,1.37162467600083,0.657223966462042,0.159378079797937,18.8743468657553,0.327914381787299,59.8963667984246,15.8262589914481,4.91566831401363,0,0,0,2.01208382900513,5.25646550651665,6.18397975942482,310,20.3539893027385,20.0724808882734,16.0911270008701,140.039554721376,0.433592728184344,57.7406555843182,3.5046,61.2452555843182,1.0941133611304,33.0401732789247,9.43717343287764,0.163957190893649,8.91917141022661,2.62823275325833,2.45783415700681,0,0,0.550661319198157,44.0939641055812,8.99229157096304,0,2.52665351340301,55.6129091899472,"LowUC"
