"Plot","Age","300 Index","Site Index","Total C","AGL C","BGL C","DWL C","FL C","Species"
"A1808",25.4,14.4239169921875,18.0467224121094,303.79689435242,298.79889435242,49.1595462609708,0,8.29113371914675,"PRAD"
"A1809",20.9,17.2601123046875,17.0060729980469,351.888870433381,346.890870433381,57.4208095691519,0,9.45097715288893,"PRAD"
"A1810",25.4,14.2448642578125,18.3824157714844,300.072061002418,295.074061002418,48.5218981201589,0,8.20615182516154,"PRAD"
"A1811",9.5,21.0273818359375,25.3346252441406,363.135693102477,358.137693102477,59.7982521266577,0,9.48034647395105,"PRAD"
"A1835",21.9,53.3213330078125,24.7337341308594,831.416819649186,826.418819649186,141.120724619166,0,20.9582054027461,"PRAD"
"A1838",26.5,59.9964189453125,26.0395812988281,862.904723769944,857.906723769944,146.95403802798,0,21.4492441674231,"PRAD"
"A1841",26.4,59.9964189453125,24.9485778808594,905.904935177964,900.906935177964,154.298210719257,0,22.6328124369437,"PRAD"
"A1862",23.4,47.7205634765625,25.1432800292969,748.203622974916,743.205622974916,126.391540265733,0,18.8678832850724,"PRAD"
"A1863",24.5,21.1133271484375,23.6561584472656,367.278887879237,362.280887879237,60.3774684524775,0,9.58973362892209,"PRAD"
"A1864",24.5,28.7338115234375,21.4036560058594,506.490864922951,501.492864922951,84.2426787038172,0,13.2369264697367,"PRAD"
"A1868",24.5,33.1671572265625,23.4815979003906,554.735220917492,549.737220917492,92.7876542724093,0,14.2765735902654,"PRAD"
"A1870",24.4,34.0910693359375,22.5987243652344,583.526184154512,578.528184154512,97.6266798312002,0,15.1090967176659,"PRAD"
"A2027",27.9,22.1303466796875,21.2962341308594,404.726576161415,399.728576161415,66.8374519441701,0,10.5430161423304,"PRAD"
"A2028",25.9,30.9827138671875,23.9515686035156,520.513826381054,515.515826381054,87.0235102094678,0,13.3526558343265,"PRAD"
"A2037",25.9,59.9964189453125,30.7762145996094,752.408115602158,747.410115602158,128.213592956838,0,17.9745803324387,"PRAD"
"A2056",25.1,47.7062392578125,29.5811462402344,644.195110911261,639.197110911261,109.389855876227,0,15.654859138416,"PRAD"
