"Plot","Index age","Age","Stocking b4 thin","Stocking aft thin","MTH","Crown Lth","Volume b4 thin","Volume aft thin","BA b4 thin","BA aft thin","DBH b4 thin","DBH aft thin","Mean Height"
"A1808",1,1,1852,1852,0.414192342949395,0,0,0,0,0,0,0,0.385225570457399
"A1808",2,2,1852,1852,0.832732236498312,0,0,0,0,0,0,0,0.77449464313859
"A1808",3,3,1852,1852,1.44252731612771,0,0,0,0,0,0,0,1.34164336380205
"A1808",4,4,1852,1852,2.19868835848053,0,0.593953361102861,0.593953361102861,0.165081801076738,0.165081801076738,1.06522980609751,1.06522980609751,2.04492186196013
"A1808",5,5,1851.14993199945,1851.14993199945,3.06579779900218,0,3.25181517049642,3.25181517049642,1.27023691870289,1.27023691870289,2.95553270631398,2.95553270631398,2.85139019142729
"A1808",6,6,1850.30023409347,1850.30023409347,4.01514894785398,0,9.3873413223641,9.3873413223641,3.83670666496759,3.83670666496759,5.13774326018777,5.13774326018777,3.73434902780066
"A1808",7,7,1849.44840087329,1849.44840087329,5.02322820696624,0,20.6034460591359,20.6034460591359,8.03249348511724,8.03249348511724,7.43563877106194,7.43563877106194,4.67192925341603
"A1808",8,8,1848.5531248792,1848.5531248792,6.07070095999055,0,38.1855287482913,38.1855287482913,13.7444824848613,13.7444824848613,9.72887066304922,9.72887066304922,5.64614852032195
"A1808",9,9,1847.38125704797,1847.38125704797,7.1416648035182,0,62.7223124648808,62.7223124648808,20.6367160101147,20.6367160101147,11.9249407293015,11.9249407293015,6.64221705273095
"A1808",10,10,1845.25409943951,1845.25409943951,8.22306907954455,0,93.9060271915199,93.9060271915199,28.2285619653312,28.2285619653312,13.9550208511017,13.9550208511017,7.64799861452531
"A1808",11,11,1840.91615346103,1840.91615346103,9.30424886252476,0,130.627718891368,130.627718891368,36.0049683257312,36.0049683257312,15.7789614144695,15.7789614144695,8.65357814106651
"A1808",12,12,1832.71860534704,1832.71860534704,10.3765431441894,0,171.364888582043,171.364888582043,43.5366833958475,43.5366833958475,17.3897756169287,17.3897756169287,9.65090728724223
"A1808",13,13,1819.03204929132,1819.03204929132,11.432977800716,0,214.657115413714,214.657115413714,50.5580491170933,50.5580491170933,18.8100166560245,18.8100166560245,10.6335097014234
"A1808",14,14,1798.6215010606,1798.6215010606,12.4679999651862,0,259.404353890191,259.404353890191,56.9688272133936,56.9688272133936,20.0799649745466,20.0799649745466,11.59623414545
"A1808",15,15,1770.81307824729,1770.81307824729,13.4772540819046,0,304.89872919083,304.89872919083,62.7804392828515,62.7804392828515,21.2441821539094,21.2441821539094,12.5350470558732
"A1808",16,16,1735.47854025941,1735.47854025941,14.4573922841948,0,350.696223024125,350.696223024125,68.052818247306,68.052818247306,22.3422874740552,22.3422874740552,13.4468579350316
"A1808",17,17,1692.94528888224,1692.94528888224,15.4059133551387,0,396.467940379527,396.467940379527,72.8510182270174,72.8510182270174,23.4051028194657,23.4051028194657,14.3293721459716
"A1808",18,18,1643.90369472416,1643.90369472416,16.3210256885611,0,441.9009497467,441.9009497467,77.225440407397,77.225440407397,24.454355022806,24.454355022806,15.180966656094
"A1808",19,19,1589.32809641955,1589.32809641955,17.2015305271592,0,486.656716093411,486.656716093411,81.2079809455582,81.2079809455582,25.5039106232611,25.5039106232611,16.000584978474
"A1808",20,20,1530.4012469348,1530.4012469348,18.0467224121094,0,530.371090396344,530.371090396344,84.8159805289111,84.8159805289111,26.5613650080434,26.5613650080434,16.7876479551316
"A1808",21,21,1468.43117952896,1468.43117952896,18.8563042934613,0,572.82324162623,572.82324162623,88.0811343648572,88.0811343648572,27.633051898465,27.633051898465,17.5419772099663
"A1808",22,22,1404.71972251679,1404.71972251679,19.630315161872,0,614.540281513523,614.540281513523,91.1367163657827,91.1367163657827,28.7386292907111,28.7386292907111,18.263729455308
"A1808",23,23,1340.30394263088,1340.30394263088,20.3690683957473,0,654.913777021916,654.913777021916,93.9311962274437,93.9311962274437,29.8687797793427,29.8687797793427,18.9533453771766
"A1808",24,24,1276.24066094147,1276.24066094147,21.0730992917225,0,693.672350723238,693.672350723238,96.4631320977225,96.4631320977225,31.0190571416448,31.0190571416448,19.6114904792784
"A1808",25,25,1213.45929146275,1213.45929146275,21.7431204735703,0,730.633786258799,730.633786258799,98.7399944226652,98.7399944226652,32.1846021744268,32.1846021744268,20.2390072207801
"A1808",26,26,1152.71701234387,1152.71701234387,22.3799840645754,0,765.703247778833,765.703247778833,100.776884035325,100.776884035325,33.3605585623739,33.3605585623739,20.8368692273857
"A1808",27,27,1094.58006697652,1094.58006697652,22.9846496683031,0,798.863093962303,798.863093962303,102.59454887508,102.59454887508,34.5424054381249,34.5424054381249,21.4061395399103
"A1808",28,28,1039.4281064154,1039.4281064154,23.5581573380049,0,830.157573153642,830.157573153642,104.217171478635,104.217171478635,35.7261826941681,35.7261826941681,21.9479340386683
"A1809",1,1,1852,1852,0.391944633967002,0,0,0,0,0,0,0,0.364533767409848
"A1809",2,2,1852,1852,0.766999415108559,0,0,0,0,0,0,0,0.713358883270775
"A1809",3,3,1852,1852,1.32322100487363,0,0,0,0,0,0,0,1.23068080596057
"A1809",4,4,1852,1852,2.02052608074746,0,0.627746698185074,0.627746698185074,0.14541246180481,0.14541246180481,0.999757162408913,0.999757162408913,1.87921946247831
"A1809",5,5,1851.14993199983,1851.14993199983,2.82619175432377,0,3.85003573122749,3.85003573122749,1.43697808947085,1.43697808947085,3.14353628186738,3.14353628186738,2.6285410766471
"A1809",6,6,1850.30023129032,1850.30023129032,3.71314989164792,0,11.462248838291,11.462248838291,4.68753877934455,4.68753877934455,5.67891720606733,5.67891720606733,3.45347031157476
"A1809",7,7,1849.44724360326,1849.44724360326,4.65892055159211,0,25.5451964712988,25.5451964712988,10.1851007289736,10.1851007289736,8.37289976944832,8.37289976944832,4.33309941825339
"A1809",8,8,1848.52657160766,1848.52657160766,5.64483141234836,0,47.7665789798271,47.7665789798271,17.7918056900678,17.7918056900678,11.0690759258333,11.0690759258333,5.25006205602413
"A1809",9,9,1847.17412015418,1847.17412015418,6.65540496186081,0,78.8033293819674,78.8033293819674,27.0145530423937,27.0145530423937,13.6445487534254,13.6445487534254,6.18996384265482
"A1809",10,10,1844.36465926543,1844.36465926543,7.67785985081662,0,118.013312198565,118.013312198565,37.1160614486786,37.1160614486786,16.0055922338403,16.0055922338403,7.14091974574689
"A1809",11,11,1838.31599674737,1838.31599674737,8.70169693761225,0,163.618250620028,163.618250620028,47.3066046135747,47.3066046135747,18.0994345721185,18.0994345721185,8.0931703776431
"A1809",12,12,1826.9048597568,1826.9048597568,9.71835151404185,0,213.411449915165,213.411449915165,56.9686257480288,56.9686257480288,19.9238887397241,19.9238887397241,9.03875913658242
"A1809",13,13,1808.32434824052,1808.32434824052,10.7208989461103,0,265.530577474676,265.530577474676,65.7829744526267,65.7829744526267,21.5195304159224,21.5195304159224,9.97125842357179
"A1809",14,14,1781.51455759621,1781.51455759621,11.7038043323499,0,318.785904488827,318.785904488827,73.6923285812595,73.6923285812595,22.9472503641,22.9472503641,10.8855371955358
"A1809",15,15,1746.21635881207,1746.21635881207,12.6627089387123,0,372.525355534719,372.525355534719,80.7781000396792,80.7781000396792,24.2667710449944,24.2667710449944,11.7775638372675
"A1809",16,16,1702.82031727941,1702.82031727941,13.5942476499651,0,426.349965169254,426.349965169254,87.1543596186153,87.1543596186153,25.5255053094311,25.5255053094311,12.6442389713202
"A1809",17,17,1652.19356856857,1652.19356856857,14.4958927512104,0,479.90687956438,479.90687956438,92.9153688339472,92.9153688339472,26.7563898895015,26.7563898895015,13.4832534896138
"A1809",18,18,1595.54313333005,1595.54313333005,15.3658201649423,0,532.803460945688,532.803460945688,98.1233914485265,98.1233914485265,27.9799028598401,27.9799028598401,14.2929677706714
"A1809",19,19,1534.30115018735,1534.30115018735,16.2027949027973,0,584.604187063125,584.604187063125,102.815164234994,102.815164234994,29.2070358218658,29.2070358218658,15.0723084639972
"A1809",20,20,1470.01067248955,1470.01067248955,17.0060729980469,0,634.866322423433,634.866322423433,107.013288184182,107.013288184182,30.4419741133741,30.4419741133741,15.8206794134612
"A1809",21,21,1404.20821520157,1404.20821520157,17.7753175978566,0,683.319845567803,683.319845567803,110.758218264016,110.758218264016,31.687386963746,31.687386963746,16.5378835028731
"A1809",22,22,1338.28436858741,1338.28436858741,18.5105272355461,0,730.619525184995,730.619525184995,114.222832812197,114.222832812197,32.9622206737687,32.9622206737687,17.2240538130726
"A1809",23,23,1273.2407805551,1273.2407805551,19.2119745880376,0,776.175912276048,776.175912276048,117.363336574122,117.363336574122,34.2550933699964,34.2550933699964,17.8795997910464
"A1809",24,24,1209.9795539394,1209.9795539394,19.8801542636266,0,819.798308907797,819.798308907797,120.195658513412,120.195658513412,35.5606406542824,35.5606406542824,18.5051434002238
"A1809",25,25,1149.19501255318,1149.19501255318,20.5157383685507,0,861.389185454675,861.389185454675,122.743050687396,122.743050687396,36.8736213910706,36.8736213910706,19.1014691778081
"A1809",26,26,1091.37164942966,1091.37164942966,21.1195387740249,0,900.928879852411,900.928879852411,125.033411557913,125.033411557913,38.1892305755789,38.1892305755789,19.6694783954866
"A1809",27,27,1036.80304761364,1036.80304761364,21.6924751534985,0,938.457433290522,938.457433290522,127.096763857759,127.096763857759,39.5032944212997,39.5032944212997,20.2101497081578
"A1809",28,28,985.622920641567,985.622920641567,22.2355479869127,0,974.056892426126,974.056892426126,128.963214864843,128.963214864843,40.8123619939622,40.8123619939622,20.7245068662328
"A1810",1,1,1852,1852,0.421835496107049,0,0,0,0,0,0,0,0.39233419543652
"A1810",2,2,1852,1852,0.85491752857142,0,0,0,0,0,0,0,0.795128394438215
"A1810",3,3,1852,1852,1.48239210955575,0,0,0,0,0,0,0,1.3787201906698
