"Variable","Value","Type"
"B31","-0.1347","Double"
"DBH_a_bla","0","Double"
"DBH_a_del","0","Double"
"DBH_a_fas","0","Double"
"DBH_a_lus","83.28","Double"
"DBH_a_mac","83.14","Double"
"DBH_a_nit","0","Double"
"DBH_a_red","0","Double"
"DBH_a_reg","0","Double"
"DBH_a_sal","0","Double"
"DBH_b_bla","0.03294","Double"
"DBH_b_del","5.037","Double"
"DBH_b_fas","22.62","Double"
"DBH_b_lus","0","Double"
"DBH_b_mac","0","Double"
"DBH_b_nit","0.06808","Double"
"DBH_b_red","5.629","Double"
"DBH_b_reg","4.298","Double"
"DBH_b_sal","18.13","Double"
"DBH_c_bla","0.9736","Double"
"DBH_c_del","0.3601","Double"
"DBH_c_fas","0.4484","Double"
"DBH_c_lus","0.6974","Double"
"DBH_c_mac","0.71","Double"
"DBH_c_nit","1.0733","Double"
"DBH_c_red","0.44","Double"
"DBH_c_reg","0.3258","Double"
"DBH_c_sal","0.4271","Double"
"DBH_d_bla","0.1994","Double"
"DBH_d_del","0.6215","Double"
"DBH_d_fas","0.405","Double"
"DBH_d_lus","0.3659","Double"
"DBH_d_mac","0.4213","Double"
"DBH_d_nit","0.6215","Double"
"DBH_d_red","0.5663","Double"
"DBH_d_reg","0.3697","Double"
"DBH_d_sal","0.3161","Double"
"DBH_f_bla","0.5","Double"
"DBH_f_del","0.168","Double"
"DBH_f_fas","0.141","Double"
"DBH_f_lus","0.4624","Double"
"DBH_f_mac","0.2645","Double"
"DBH_f_nit","0.184","Double"
"DBH_f_red","0.0912","Double"
"DBH_f_reg","0.199","Double"
"DBH_f_sal","0.232","Double"
"DBH_form_bla","Anamorphic","String"
"DBH_form_del","Anamorphic","String"
"DBH_form_fas","GADA","String"
"DBH_form_lus","CA","String"
"DBH_form_mac","CA","String"
"DBH_form_nit","Anamorphic","String"
"DBH_form_red","Anamorphic","String"
"DBH_form_reg","Anamorphic","String"
"DBH_form_sal","GADA","String"
"DBH_g_bla","10.88","Double"
"DBH_g_del","26.38","Double"
"DBH_g_fas","16.84","Double"
"DBH_g_lus","32.02","Double"
"DBH_g_mac","20.66","Double"
"DBH_g_nit","21.32","Double"
"DBH_g_red","39.94","Double"
"DBH_g_reg","12.34","Double"
"DBH_g_sal","9.6","Double"
"DBH_h_bla","0.0457","Double"
"DBH_h_del","0.7319","Double"
"DBH_h_fas","1.0695","Double"
"DBH_h_lus","0","Double"
"DBH_h_mac","0","Double"
"DBH_h_nit","0.0558","Double"
"DBH_h_red","0.735","Double"
"DBH_h_reg","0.3998","Double"
"DBH_h_sal","0.2417","Double"
"DBH_k_bla","0","Double"
"DBH_k_del","0","Double"
"DBH_k_fas","0","Double"
"DBH_k_lus","-2.39","Double"
"DBH_k_mac","-0.62","Double"
"DBH_k_nit","0","Double"
"DBH_k_red","0","Double"
"DBH_k_reg","0","Double"
"DBH_k_sal","0","Double"
"DBH_model_bla","Richards","String"
"DBH_model_del","Korf","String"
"DBH_model_fas","Korf","String"
"DBH_model_lus","Korf","String"
"DBH_model_mac","Korf","String"
"DBH_model_nit","Richards","String"
"DBH_model_red","Korf","String"
"DBH_model_reg","Korf","String"
"DBH_model_sal","Korf","String"
"DEN_a_bla","321","Double"
"DEN_a_cyp","404","Double"
"DEN_a_del","318","Double"
"DEN_a_fas","351","Double"
"DEN_a_nit","313","Double"
"DEN_a_red","339","Double"
"DEN_a_reg","313","Double"
"DEN_a_sal","320","Double"
"DEN_b_bla","60.7","Double"
"DEN_b_cyp","0","Double"
"DEN_b_del","41.1","Double"
"DEN_b_fas","43.2","Double"
"DEN_b_nit","60.7","Double"
"DEN_b_red","0","Double"
"DEN_b_reg","41.1","Double"
"DEN_b_sal","78.2","Double"
"MORT_k_bla","0.00956","Double"
"MORT_k_del","0.0142","Double"
"MORT_k_fas","0.0151","Double"
"MORT_k_lus_NI","0.0049","Double"
"MORT_k_lus_SI","0.0054","Double"
"MORT_k_mac_NI","0.0103","Double"
"MORT_k_mac_SI","0","Double"
"MORT_k_nit_NI","0.0183","Double"
"MORT_k_nit_SI","0.00608","Double"
"MORT_k_red","0.00167","Double"
"MORT_k_reg","0.0159","Double"
"MORT_k_sal","0.00742","Double"
"MORT_m_bla","0.03249","Double"
"MORT_m_del","0.03249","Double"
"MORT_m_fas","0.03249","Double"
"MORT_m_lus_NI","0.0314","Double"
"MORT_m_lus_SI","0.0314","Double"
"MORT_m_mac_NI","0.0314","Double"
"MORT_m_mac_SI","0.0314","Double"
"MORT_m_nit_NI","0.4692","Double"
"MORT_m_nit_SI","0.03249","Double"
"MORT_m_red","0.00368","Double"
"MORT_m_reg","0.03249","Double"
"MORT_m_sal","0.03249","Double"
"MORT_n_bla","2.798","Double"
"MORT_n_del","2.798","Double"
"MORT_n_fas","2.798","Double"
"MORT_n_lus_NI","1.41","Double"
"MORT_n_lus_SI","1.41","Double"
"MORT_n_mac_NI","1.41","Double"
"MORT_n_mac_SI","1.41","Double"
"MORT_n_nit_NI","2.798","Double"
"MORT_n_nit_SI","2.798","Double"
"MORT_n_red","3.56","Double"
"MORT_n_reg","2.798","Double"
"MORT_n_sal","2.798","Double"
"MTH_MnHt_a_bla","0.1271","Double"
"MTH_MnHt_a_del","0.1793","Double"
"MTH_MnHt_a_dfr","0.106","Double"
"MTH_MnHt_a_fas","0.2059","Double"
"MTH_MnHt_a_lus","0.1921","Double"
"MTH_MnHt_a_mac","0.1921","Double"
"MTH_MnHt_a_nit","0.1401","Double"
"MTH_MnHt_a_rad","0.07","Double"
"MTH_MnHt_a_red","0.1376","Double"
"MTH_MnHt_a_reg","0.1616","Double"
"MTH_MnHt_a_sal","0.2146","Double"
"MTH_MnHt_b_bla","-0.00285","Double"
"MTH_MnHt_b_del","-0.00278","Double"
"MTH_MnHt_b_dfr","-0.228","Double"
"MTH_MnHt_b_fas","-0.00165","Double"
"MTH_MnHt_b_lus","-0.00114","Double"
"MTH_MnHt_b_mac","-0.00114","Double"
"MTH_MnHt_b_nit","-0.00262","Double"
"MTH_MnHt_b_rad","-0.00399","Double"
"MTH_MnHt_b_red","-0.00622","Double"
"MTH_MnHt_b_reg","-0.00464","Double"
"MTH_MnHt_b_sal","-0.00164","Double"
"MTH_a_bla","0","Double"
"MTH_a_del","49.93","Double"
"MTH_a_fas","62.71","Double"
"MTH_a_lus","38.79","Double"
"MTH_a_mac","47.37","Double"
"MTH_a_nit","116.04","Double"
"MTH_a_red","0","Double"
"MTH_a_reg","259.8","Double"
"MTH_a_sal","106.03","Double"
"MTH_b_bla","0.01325","Double"
"MTH_b_del","829","Double"
"MTH_b_fas","0","Double"
"MTH_b_lus","0","Double"
"MTH_b_mac","0","Double"
"MTH_b_nit","0","Double"
"MTH_b_red","40.82","Double"
