"Plot","Age (years)","Stocking (stem/ha)","BA (m2/ha)","DBH (cm)","Stem Vol. (m3/ha)","Harvest vol. (m3/ha)","MTH (m)","Mean height (m)","Wood dens. (kg/m3)","Crown height (m)"
"Rapo1",1,833,0,0,0,0,1.02029629232001,0.952709588914196,NA,NA
"Rapo1",2,833,0.102921013330771,1.25413338200401,0.323594802524381,0,2.31935579177957,2.16571648800917,271.273695180232,NA
"Rapo1",3,833,1.35202999366397,4.54553351469154,3.38504330770308,0,3.88867580101145,3.63108123756682,278.327405767797,NA
"Rapo1",4,833,4.57455825630732,8.36115515282107,12.7109652338353,0,5.62968394950489,5.2567611208837,282.825466415918,NA
"Rapo1",5,833,9.79135375607254,12.2324393727076,31.7123192726702,0,7.48375851718983,6.98801765145371,287.731407277417,NA
"Rapo1",6,833,16.4954972780568,15.8772179817477,62.2692672212773,0,9.41112935480835,8.78771514346108,292.623005164085,NA
"Rapo1",7,833,23.8672351621554,19.0982140801046,103.822396432851,0,11.3829761472545,10.628942403791,297.427577025644,NA
"Rapo1",8,833,31.0517897381551,21.7838691426015,153.585567015441,0,13.3776017536329,12.4914395585826,302.140510492609,NA
"Rapo1",9,833,37.4737814432488,23.9307032230515,208.080416486366,0,15.3782849008703,14.3595929892081,306.704800879733,NA
"Rapo1",10,833,42.9564652346625,25.6215836580092,264.730100307379,0,17.3719521923181,16.2211953099888,311.031988156975,NA
"Rapo1",11,833,47.5917419391674,26.9685440988394,322.259862450454,0,19.3482980382069,18.0666235964208,315.055716873328,NA
"Rapo1",12,833,51.5556973398662,28.0691999272801,380.213252258582,0,21.2991706215336,19.8882660260516,318.751294684876,NA
"Rapo1",13,833,55.0063001199137,28.993317947866,438.422243765196,0,23.2181261929666,21.680105697886,322.127767340043,NA
"Rapo1",14,833,58.0571786981064,29.7865129938838,496.738746100601,0,25.100095328326,23.4374089977152,325.213721185216,NA
"Rapo1",15,833,60.7844086417813,30.4780936426261,554.966372459477,0,26.9411267263269,25.1564863672696,328.045465655717,NA
"Rapo1",16,833,63.2386971632853,31.0873110163751,612.867229652785,0,28.7381865225867,26.8345049121139,330.659977928737,NA
"Rapo1",17,833,65.4555367261488,31.6275022502265,670.190810023979,0,30.488998469714,28.469339168564,333.091111910201,NA
"Rapo1",18,833,67.4609482181957,32.1083450727452,726.690641387662,0,32.1919149117498,30.0594506250684,335.36852652344,NA
"Rapo1",19,833,69.2758740891171,32.5373896506075,782.145418092651,0,33.8458114302564,31.6037893471765,337.517105339532,NA
"Rapo1",20,833,70.917616057703,32.9206775644426,836.359785896836,0,35.45,33.1017128859812,339.557690568833,NA
"Rapo1",21,833,72.423585253229,33.2683844286031,889.443968876715,0,37.0041568322405,34.5529189012311,341.494538703329,NA
"Rapo1",22,833,73.8861716618258,33.6026310432868,942.303005035691,0,38.5082620221419,35.9573888066312,343.296599684805,NA
"Rapo1",23,833,75.2855306577516,33.9193451457698,994.547129648097,0,39.9625487884373,37.315340371985,344.996518749587,NA
"Rapo1",24,833,76.6239680681771,34.2195284400609,1046.06382380244,0,41.3674605834819,38.6271876743741,346.609908750308,NA
"Rapo1",25,833,77.904058885078,34.5041826301688,1096.75945538329,0,42.723614715574,39.8935071302175,348.084872177043,NA
"Rapo1",26,833,79.1286262507695,34.7743094201023,1146.55861744939,0,44.0317713996953,41.11500859616,349.440893611088,NA
"Rapo1",27,833,80.3007217566248,35.0309105138701,1195.40339272713,0,45.2928073625819,42.292510722602,350.694973192274,NA
"Rapo1",28,833,81.4236070549769,35.274987615481,1243.25256290276,0,46.5076932905302,43.4269198954134,351.861429835111,NA
"Rapo1",29,833,82.5007367842042,35.5075424289437,1290.08077971385,0,47.6774745357044,44.5192122202981,352.95240423037,NA
"Rapo1",30,833,83.535742806999,35.7295766582671,1335.87771309883,0,48.8032545976122,45.5704180984936,353.978260980117,NA
"Rapo1",31,833,84.5324197618202,35.9420920074599,1380.64718994516,0,49.8861809771331,46.5816090178605,354.926126857945,NA
"Rapo1",32,833,85.4947119275289,36.1460901805308,1424.40633532961,0,50.9274330656423,47.5538862442571,355.805351690712,NA
"Rapo1",33,833,86.4267014012082,36.3425728814887,1467.18472659664,0,51.9282117847992,48.488371147612,356.624082427269,NA
"Rapo1",34,833,87.3325975891654,36.5325418143421,1509.0235691885,0,52.8897307360531,49.3861969377062,357.389459831006,NA
"Rapo1",35,833,88.216728011119,36.7169986831001,1549.97490182897,0,53.8132086548259,50.2485016182072,358.107779818752,NA
"Rapo1",36,833,89.0835304175682,36.8969451917712,1590.10083747269,0,54.6998629941627,51.0764219953535,358.784626379299,NA
"Rapo1",37,833,89.9375462203463,37.0733830443642,1629.47284536091,0,55.5509044875862,51.8710886009772,359.424981497905,NA
"Rapo1",38,833,90.7834152363579,37.247313944888,1668.17107856713,0,56.3675325618443,52.6336214091217,360.03331635926,NA
"Rapo1",39,833,91.6258717444986,37.4197395973512,1706.28375056576,0,57.1509314879433,53.3651262420389,360.613667211849,NA
"Rapo1",40,833,92.4719507933316,37.5921107020309,1743.94822243091,0,57.9022671738772,54.0666917753754,361.170300969981,NA
"Rapo1",41,833,93.3113640909057,37.7623462694121,1780.97846582373,0,58.6226845152562,54.7393870643008,361.711338923916,NA
"Rapo1",42,833,94.1384816594952,37.929340882625,1817.26976749879,0,59.313305230984,55.3842595225556,362.220199560816,NA
"Rapo1",43,833,94.954556903962,38.0933885834068,1852.84786549999,0,59.9752261205257,56.0023332951605,362.699719407228,NA
"Rapo1",44,833,95.760744891615,38.2547579990795,1887.73859376959,0,60.609517687397,56.5946079730893,363.152427488661,NA
"Rapo1",45,833,96.5583395980181,38.4137402744913,1921.97229544852,0,61.2172230804942,57.1620576047271,363.580640708326,NA
"Rapo1",46,833,97.3482353743952,38.5705421049091,1955.57294198383,0,61.7993573109341,57.7056299645896,363.986360218402,NA
"Rapo1",47,833,98.1315532762309,38.7254111771074,1988.57028789667,0,62.3569067073329,58.226246044684,364.371454223394,NA
"Rapo1",48,833,98.9090240532899,38.8785142075266,2020.9873132981,0,62.8908285770203,58.7247997381661,364.737532488424,NA
"Rapo1",49,833,99.6815379840423,39.0300462726993,2052.85108667198,0,63.4020510446819,59.2021576886708,365.086097290868,NA
"Rapo1",50,833,100.449916997945,39.1801858960285,2084.18805312791,2084.18805312791,63.8914730434035,59.6591592819506,365.41850536762,NA
"Rapo10",1,782,0,0,0,0,1.07174039027948,1.00165477923806,NA,NA
"Rapo10",2,782,0.12501621563732,1.42657299777596,0.371395363415644,0,2.43908396947316,2.27958201178611,270.307772041686,NA
"Rapo10",3,782,1.40847777233102,4.78834930388092,3.54520487163499,0,4.08077198520845,3.81391314448727,277.898364540584,NA
"Rapo10",4,782,4.57312336901466,8.6281420006317,12.9811062557642,0,5.89489241383768,5.50940060948428,282.657504661371,NA
"Rapo10",5,782,9.58901927705117,12.4938969959066,31.9300617153741,0,7.82127957518819,7.30981321344185,287.663751217161,NA
"Rapo10",6,782,15.9500171667098,16.1135563700352,62.0831268229107,0,9.81933911245788,9.17721123525799,292.598988940771,NA
"Rapo10",7,782,22.8839444369677,19.3008425363252,102.782538991998,0,11.85978748942,11.084226112284,297.414045954255,NA
"Rapo10",8,782,29.6115445136364,21.9554000854869,151.316910954434,0,13.9206682397308,13.0103372038425,302.109902469046,NA
"Rapo10",9,782,35.6229323238007,24.0810632397005,204.400474013494,0,15.9851245243724,14.939790010506,306.635295291185,NA
"Rapo10",10,782,40.7677045172005,25.7613699602744,259.613314241097,0,18.0400260088861,16.8603128456021,310.911213864557,NA
"Rapo10",11,782,45.1309117504692,27.1049043462767,315.730228769791,0,20.0750615609926,18.762268865152,314.880329888618,NA
"Rapo10",12,782,48.8701131621833,28.2054152296954,372.272864405197,0,22.0821079372565,20.6380660387687,318.524006263984,NA
"Rapo10",13,782,52.1265805999785,29.1299972615421,429.032033857509,0,24.0547726952661,22.4817299527316,321.854521901399,NA
"Rapo10",14,782,55.0031879306556,29.9229740570003,485.830524639127,0,25.9880527372534,24.288584682875,324.901431591884,NA
"Rapo10",15,782,57.5698734816962,30.6131812503786,542.457925440231,0,27.8780727675798,26.0550083554384,327.700832304095,NA
"Rapo10",16,782,59.874110458045,31.2198176726367,598.674418436609,0,29.7218808511915,27.778242074815,330.288941968323,NA
"Rapo10",17,782,61.9494372707495,31.7562716373904,654.232087175101,0,31.5172859236568,29.4562380594901,332.698867186132,NA
"Rapo10",18,782,63.8212410312062,32.2324596588819,708.896304742227,0,33.2627268549055,31.0875372682538,334.959261087479,NA
"Rapo10",19,782,65.5097286658385,32.6560555108784,762.454649273267,0,34.9571657250649,32.6711696551785,337.094396507996,NA
"Rapo10",20,782,67.0321280211365,33.0333279295875,814.726736710749,0,36.6,34.2065720883701,339.124345521335,NA
"Rapo10",21,782,68.4253033337493,33.3748398932648,865.839691261913,0,38.1909896792792,35.6935202620345,341.052250332214,NA
"Rapo10",22,782,69.778272303193,33.7031840007711,916.699705245614,0,39.7301964580779,37.1320718368401,342.84570628263,NA
"Rapo10",23,782,71.0720151807882,34.0141905329309,966.928167727841,0,41.217932636947,38.5225186906916,344.537439497566,NA
"Rapo10",24,782,72.3086314155034,34.3088290650531,1016.41842360464,0,42.6547180179132,39.8653466335751,346.120064806875,NA
"Rapo10",25,782,73.4904636087155,34.5880691724464,1065.08171273466,0,44.0412433994456,41.1612012897429,347.566449406132,NA
